,year,Africa,Asia,Europe,North America,South America,Oceania
total_cases_per_million,2020,932.8257577115866,3797.290985670132,6533.086977688758,3449.668734959132,6531.68605925054,849.5778890796704
total_cases_per_million,2021,10958.245359336699,30771.39056577246,72807.56041270237,40436.064607417306,52554.26988277887,9541.068833447489
total_cases_per_million,2022,35932.39621243872,101130.53230426596,301569.0370830884,187908.85477975276,149648.40752054795,122093.16129942922
total_cases_per_million,2023,46042.780875770506,129932.72719576432,367177.94351090724,227882.52805735005,181575.32969594595,218735.82138063063
