,year,Africa,Asia,Europe,North America,South America,Oceania
total_cases,2020,14116.107865818392,118661.09603821299,87678.3945540287,135069.9937022645,292856.17853639397,817.6446886446887
total_cases,2021,107782.12338380197,1061159.217248438,916498.8171855542,1040360.8252589375,2123105.4528375734,6675.770662100456
total_cases,2022,215790.47125829087,3086794.0217870786,3589888.898381071,2514798.3838957567,4200124.457925636,368082.9212328767
total_cases,2023,228728.73091512566,5866937.273418409,4500451.91993059,2961888.6453526695,4830015.523166023,579499.7421171172
